Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.pdfsam.ui.selection.multiple.move,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MoveSelectedEvent; MoveSelectedEventTest]; [MultipleSelectionAndFocus; SelectionAndFocus; SingleSelectionAndFocus; MoveTypeTest; MultipleSelectionAndFocusTest; SingleSelectionAndFocusTest]. LCC (Lack of Component Cohesion) = 0.25
.,org.pdfsam.ui.selection.single,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SingleSelectionPane]; [SingleSelectionPaneToolbar; ClearButton]; [SelectButton]; [TaskParametersBuilderSingleSelectionPane]; [SingleSelectionPaneTest]; [SingleSelectionPaneToolbarTest]. LCC (Lack of Component Cohesion) = 0.86
.,org.pdfsam.ui.banner,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppContextMenu; MenuButtonTest; MenuConfig; ModulesMenuTest; SettingsMenuTest; WorkspaceMenuTest; MenuButton]; [BannerButton]; [BannerButtons]; [BannerPane; BannerPaneTest]; [DashboardButton; DashboardButtonTest]; [LogButton; LogButtonTest]; [ModulesMenu]; [NewsButton; NewsButtonTest]; [WorkspaceMenu]; [WorkspaceMenuItem]; [BannerButtonTest]; [Config]. LCC (Lack of Component Cohesion) = 0.55
.,org.pdfsam.ui.dashboard,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutDashboadItem; DashboardTest; EnabledItem; Dashboard]; [DashboardButton; DashboardButtonTest]; [DashboardConfig; ModulesDashboardItem]; [DashboardItem; QuickbarDashboardButtonsPaneTest; QuickbarDashboardButtonsPane]; [DashboardItemPane]; [PreferencesDashboardItem]; [DashboardItemPaneTest]; [Config]; [DisabledItem]. LCC (Lack of Component Cohesion) = 0.56
.,org.pdfsam.ui.dashboard.modules,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DashboardTile]; [ModulesDashboardPane]; [ModulesDashboardTile]; [PremiumModuleTile]; [ModulesDashboardPaneTest]; [ModulesDashboardTileTest]. LCC (Lack of Component Cohesion) = 1.0
.,org.pdfsam.ui.dashboard.preference,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CheckForUpdatesButton]; [ClearStatisticsButton]; [PreferenceAppearencePane]; [PreferenceBehaviorPane]; [PreferenceBrowsableDirectoryField; PreferenceBrowsableDirectoryFieldTest]; [PreferenceBrowsableFileField]; [PreferenceCheckBox; PreferenceCheckBoxTest]; [PreferenceComboBox]; [PreferenceConfig]; [PreferenceIntTextField; PreferenceIntTextFieldTest]; [PreferenceOutputPane]; [PreferencePane; PreferencePaneTest]; [PreferenceRadioButton; PreferenceRadioButtonTest]; [PreferenceSetterOnValidState]; [PreferenceThumbnailsPane]; [PreferenceWorkspacePane]; [CheckForUpdatesButtonTest]; [ClearStatisticsButtonTest]; [PreferenceAppearencePaneTest]; [PreferenceBrowsableFileFieldTest]; [PreferenceComboBoxTest]; [PreferenceOutputPaneTest]; [Config]; [PreferenceSetterOnValidStateTest]. LCC (Lack of Component Cohesion) = 0.83
.,org.pdfsam.ui.dialog,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddSubdirectoriesConfirmationDialog; ConfirmationDialog; CreateOutputDirectoryConfirmationDialog; LenientExecutionConfirmationDialog; OverwriteConfirmationDialog; CreateOutputDirectoryConfirmationDialogTest; LenientExecutionConfirmationDialogTest; OverwriteConfirmationDialogTest; OverwriteDialogControllerTest; Config; OverwriteDialogController]; [ConfirmationDialogContent]; [CreateOutputDirectoryDialogController]; [LenientTaskExecutionDialogController]; [OpenWithDialog; OpenWithDialogControllerTest; OpenWithDialogTest; OpenWithDialogController]; [ConfirmationDialogContentTest]; [CreateOutputDirectoryDialogControllerTest; Config; OverwriteDialogControllerUITest]; [LenientTaskExecutionDialogControllerTest]; [Config]; [Config]. LCC (Lack of Component Cohesion) = 0.4
.,org.pdfsam.ui.info,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseInfoTab]; [InfoPane]; [InfoStage; InfoStageTest]; [InfoStageController]; [KeywordsTab]; [SummaryTab]; [Config]; [KeywordsTabTest]; [SummaryTabTest]. LCC (Lack of Component Cohesion) = 0.9
.,org.pdfsam.ui.log,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ErrorLoggedEvent; LogMessageBroadcaster; LogMessageBroadcasterTest; LogMessage; LogMessageTest]; [LogAreaVisiblityChangedEvent]; [LoggerConfig]; [LogListView; TextCell; MaxLogRowsChangedEvent; LogPaneTest; LogPane]; [LogStage]; [UpToInfoFilter]; [LogLevelTest]; [LogListViewTest]; [Config]; [Config]. LCC (Lack of Component Cohesion) = 0.56
.,org.pdfsam.ui.quickbar,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseQuickbarButton]; [BaseQuickbarButtonsPane; QuickbarPaneTest]; [ExpandButton; ExpandButtonTest]; [QuickbarPane]; [BaseQuickbarButtonTest]. LCC (Lack of Component Cohesion) = 0.71
.,org.pdfsam.ui.workarea,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ModuleButton; ModuleButtonTest; QuickbarModuleButtonsPaneTest; QuickbarModuleButtonsPane; QuickbarModuleButtonsProvider; QuickbarModuleButtonsProviderTest]; [WorkArea; WorkAreaTest; TestModule]; [Config]. LCC (Lack of Component Cohesion) = 0.3
.,org.pdfsam.merge,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MergeModule]; [ModuleConfig]; [MergeOptionsPane]; [MergeParametersBuilder; MergeOptionsPaneTest; MergeSelectionPaneTest]; [MergeSelectionPane]; [MergeParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.75
.,org.pdfsam.rotate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RotateModule]; [ModuleConfig]; [RotateOptionsPane]; [RotateParametersBuilder; RotateOptionsPaneTest; RotateSelectionPaneTest]; [RotateSelectionPane]; [RotateParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.75
.,org.pdfsam.split,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SplitAfterPredefinedSetOfPagesRadioButton]; [SimpleSplitParametersBuilder]; [SplitAfterRadioButton]; [SplitByPageParametersBuilder]; [SplitByEveryRadioButton]; [SplitByEveryXPagesParametersBuilder]; [SplitModule]; [ModuleConfig]; [SplitOptionsPane]; [SplitParametersBuilderCreator]; [SplitAfterPredefinedSetOfPagesRadioButtonTest]; [SplitAfterRadioButtonTest]; [SplitByEveryRadioButtonTest]. LCC (Lack of Component Cohesion) = 1.0
.,org.pdfsam.splitbybookmarks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BookmarksLevelComboBox; SplitOptionsPaneTest; SplitByOutlineLevelParametersBuilder; BookmarksLevelComboBoxTest]; [SplitByBookmarksModule]; [ModuleConfig]; [SplitOptionsPane]; [SplitByOutlineLevelParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.63
.,org.pdfsam.splitbysize,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SizeUnitRadio; SplitOptionsPaneTest; SplitBySizeParametersBuilder]; [SplitBySizeModule]; [ModuleConfig]; [SplitOptionsPane]; [SizeUnitRadioTest]; [SizeUnitTest]; [SplitBySizeParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.78
