Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.pdfsam.news,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FetchLatestNewsRequest; LatestNewsControllerTest; LatestNewsEvent; LatestNewsEventTest; NewImportantNewsEvent; NewImportantNewsEventTest; NewsData; DefaultNewsService; DefaultNewsServiceTest; ShowNewsPanelRequest; LatestNewsController; NewsService]; [HideNewsPanelRequest]; [NewsServiceConfig]. LCC (Lack of Component Cohesion) = 0.21
.,org.pdfsam.pdf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseFilesDroppedEvent; MultipleFilesDroppedEvent; SingleFileDroppedEvent; SingleFileDroppedEventTest]; [PdfDocumentDescriptor; PdfDocumentDescriptorTest; PdfLoadRequestEventTest; BookmarksLevelSAMBoxLoaderTest; DefaultSAMBoxLoaderTest; PdfLoadControllerTest; SAMBoxPdfLoadServiceTest; PdfFilesListLoadRequest; PdfFilesListLoadRequestTest; PdfLoadRequestEvent; PdfLoadController; PdfLoadService]; [PdfDocumentDescriptorProvider]; [BookmarksLevelSAMBoxLoader; PdfLoader]; [DefaultSAMBoxLoader]; [PdfListParser; PdfListParserTest]; [PdfServiceConfig]; [SAMBoxPdfLoadService]. LCC (Lack of Component Cohesion) = 0.33
.,org.pdfsam.premium,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.premium; org.pdfsam
.,org.pdfsam.premium,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EncryptionUtils; EncryptionUtilsTest]; [KeyStringValueItem; KeyValueItem; LocaleKeyValueItem; KeyStringValueItemTest; LocaleKeyValueItemTest]; [ObservableAtomicReference]; [XmlUtils; XmlUtilsTest]; [ObservableAtomicReferenceTest]. LCC (Lack of Component Cohesion) = 0.45
.,org.pdfsam.support.params,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractParametersBuilder]; [AbstractPdfOutputParametersBuilder]; [ConversionUtils; ConversionUtilsTest]; [MultipleOutputTaskParametersBuilder]; [MultiplePdfSourceMultipleOutputParametersBuilder]; [SingleOutputTaskParametersBuilder]; [SinglePdfSourceMultipleOutputParametersBuilder]; [SinglePdfSourceTaskParametersBuilder]; [SplitParametersBuilder]; [TaskParametersBuildStep]. LCC (Lack of Component Cohesion) = 0.91
.,org.pdfsam.support.validation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ContainedIntegerValidator; Validator; Validators; DirectoryValidatorTest; FileTypeValidatorTest; FileValidatorTest; IntegerStringValidatorTest; IntRangeStringValidatorTest; RegexValidatorTest; ValidatorsTest; FileTypeValidator; FileValidator; PositiveIntegerStringValidator; PositiveIntRangeStringValidator; PositiveIntegerValidator; RegexValidator]; [AlwaysInvalidStringTest]; [BlankStringDecoratorTest]; [ContainedIntegerValidatorTest]; [NonBlankStringValidatorTest]. LCC (Lack of Component Cohesion) = 0.25
.,org.pdfsam.task,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.task; org.pdfsam
.,org.pdfsam.task,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.task,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BulkRotateParameters]; [PdfRotationInput]; [BulkRotateParametersTest]; [PdfRotationInputTest]; [BulkRotateTask]; [TaskExecutionController]; [TaskEventBroadcaster]; [TaskExecutionServiceConfig]; [BulkRotateTaskTest]; [TaskExecutionControllerTest]. LCC (Lack of Component Cohesion) = 1.0
.,org.pdfsam.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.ui; org.pdfsam; org.pdfsam.ui.dialog
.,org.pdfsam.ui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam; org.pdfsam.ui.workarea; org.pdfsam.ui.dashboard
.,org.pdfsam.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InputPdfArgumentsLoadRequest]; [ResettableView]; [SetLatestStageStatusRequest; SetLatestStageStatusRequestTest; StageServiceControllerTest; StageStatus; StageStatusTest; DefaultStageService; StageService; UIServiceConfig; DefaultStageServiceTest; JsonWorkspaceService; PreferencesRecentWorkspacesService; RecentWorkspacesService; PreferencesRecentWorkspacesServiceTest; WorkspaceControllerTest; StageServiceController; WorkspaceController; WorkspaceService]; [InputPdfArgumentsLoadRequestTest]; [StageModeTest]; [ContentPane; ContentPaneTest; Config]; [MainPane]; [JsonWorkspaceServiceTest]. LCC (Lack of Component Cohesion) = 0.31
.,org.pdfsam.ui.workspace,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseWorkspaceEvent; LoadWorkspaceEvent; SaveWorkspaceEvent; WorkspaceLoadedEvent; LoadWorkspaceEventTest; SaveWorkspaceEventTest; WorkspaceLoadedEventTest]; [RestorableView]. LCC (Lack of Component Cohesion) = 0.25
.,org.pdfsam.update,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.update; org.pdfsam
.,org.pdfsam.update,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.update,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NoUpdateAvailable; UpdatesControllerTest; UpdateAvailableEvent; UpdateAvailableEventTest; UpdateCheckRequest; UpdatesController; UpdateService]; [DefaultUpdateService; DefaultUpdateServiceTest]; [UpdateServiceConfig]. LCC (Lack of Component Cohesion) = 0.3
.,org.pdfsam.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClearEventStudioRule]; [DefaultPriorityTestModule]; [HighPriorityTestModule]; [HitConsumer]; [HitTestListener]; [InitializeAndApplyJavaFxThreadRule; JavaFXThreadRule]; [InitializeJavaFxThreadRule]; [JavaFXInitlializer]; [LowPriorityTestModule]; [DefaultPriorityDashboardItem]. LCC (Lack of Component Cohesion) = 0.91
.,org.pdfsam.extract,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExtractModule]; [ModuleConfig]; [ExtractOptionsPane]; [ExtractParametersBuilder; ExtractOptionsPaneTest; ExtractSelectionPaneTest]; [ExtractSelectionPane]; [ExtractParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.75
.,org.pdfsam.ui.commons,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
.,org.pdfsam.ui.commons,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Animations]; [ClearModuleEvent]; [ClosePane]; [HideOnEscapeHandler]; [HideStageRequest; ClosePaneTest]; [HidingPane; HidingPaneTest]; [NonExistingOutputDirectoryEvent]; [OpenFileRequest; OpenFileRequestTest]; [OpenUrlRequest; OpenUrlRequestTest; UrlButtonTest; UrlButton]; [RadioButtonDrivenTextFieldsPane]; [RemoveSelectedEvent]; [SetActiveModuleRequest; SetActiveModuleRequestTest]; [SetDestinationRequest; SetDestinationRequestTest]; [SetPageRangesRequest]; [ShowPdfDescriptorRequest; ShowPdfDescriptorRequestTest]; [ShowStageRequest]; [ToggleChangeListener]; [ValidableTextField; ErrorTooltipManager]; [HideOnEscapeHandlerTest]; [RadioButtonDrivenTextFieldsPaneTest]; [ToggleChangeListenerTest]; [ValidableTextFieldTest]. LCC (Lack of Component Cohesion) = 0.69
.,org.pdfsam.ui.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 43
.,org.pdfsam.ui.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddPdfVersionConstraintEvent; PdfVersionConstrainedCheckBoxTest; RemovePdfVersionConstraintEvent]; [BasePdfVersionEvent]; [BaseRememberingLatestChooser; RememberingLatestDirectoryChooserWrapper; RememberingLatestFileChooserWrapper; SetLatestDirectoryEvent; RememberingLatestDirectoryChooserWrapperTest; SetLatestDirectoryEventTest]; [BrowsableDirectoryField; FileChoosers; BrowsableDirectoryFieldUITest; BrowseEventHandler; BrowsableFileField; BrowsableFileFieldUITest; BrowseEventHandler]; [BrowsableField]; [BrowsableOutputDirectoryField]; [BrowsablePdfInputField]; [BrowsablePdfOutputField]; [ChangedSelectedPdfVersionEvent]; [DestinationPane]; [PdfDestinationPane]; [PdfVersionCombo]; [PdfVersionComboItem]; [DefaultPdfVersionComboItem]; [SameAsSourceComboItem]; [PdfVersionConstrainedCheckBox]; [PdfVersionFilter]; [AddPdfVersionConstraintEventTest]; [BasePdfVersionEventTest]; [BrowsableDirectoryFieldTest]; [BrowsableFileFieldTest]; [BrowsableOutputDirectoryFieldTest]; [BrowsablePdfInputFieldTest]; [BrowsablePdfOutputFieldTest]; [PdfDestinationPaneTest]; [PdfDestinationPaneUITest]; [PdfVersionComboTest]; [BasePdfVersionEventListener]; [PdfVersionFilterTest]; [RemovePdfVersionConstraintEventTest]. LCC (Lack of Component Cohesion) = 0.7
.,org.pdfsam.ui.module,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseTaskExecutionModule]; [ErrorTracker]; [Footer]; [ModuleOwnedButton; ModuleOwnedButtonTest]; [OpenButton]; [OpenWithMenuItem]; [RunButton]; [TaskFailedButton]; [FooterTest]; [OpenButtonTest]; [TestListener]; [RunButtonTest]; [TaskFailedButtonTest]. LCC (Lack of Component Cohesion) = 0.93
.,org.pdfsam.ui.notification,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.ui.notification; org.pdfsam
.,org.pdfsam.ui.notification,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddNotificationRequestEvent; AddNotificationRequestEventTest]; [Notification]; [NotificationsContainer; NotificationsControllerTest]; [NotificationsController]; [RemoveNotificationRequestEvent; RemoveNotificationRequestEventTest]; [NotificationsContainerTest]. LCC (Lack of Component Cohesion) = 0.67
.,org.pdfsam.ui.selection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LoadingStatusIndicatorUpdater]; [PasswordFieldPopup; PasswordFieldPopupContent; PasswordFieldPopupSkin]; [ShowPasswordFieldPopupRequest]; [ToolbarButton]; [LoadingStatusIndicatorUpdaterTest]; [PasswordFieldPopupTest]; [ShowPasswordFieldPopupRequestTest]. LCC (Lack of Component Cohesion) = 0.78
.,org.pdfsam.ui.selection.multiple,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
.,org.pdfsam.ui.selection.multiple,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DuplicateSelectedEvent]; [IndexColumn]; [LoadingColumn]; [LoadingStatusCell]; [MultipleSelectionPane]; [PaceColumn]; [PageRangesColumn; SelectionTable; SelectionChangedEvent; SelectionChangedEventTest; SelectionTableTest]; [ReverseColumn]; [SelectionTableColumn]; [SelectionTableRowData]; [SelectionTableToolbar]; [AddButton]; [RemoveButton]; [ClearButton]; [BaseMoveSelectedButton]; [MoveUpButton]; [MoveDownButton]; [TableColumnProvider]; [TooltippedTextFieldTableCell]; [FileColumnTest]; [IntegerColumnTest]; [LoadingColumnTest]; [LongColumnTest]; [PaceColumnTest]; [PageRangesColumnTest]; [SelectionTableRowDataTest]; [SelectionTableToolbarTest]; [SelectionTableToolbarWithoutMoveTest]; [SelectionTableWithoutDuplicateTest]; [SelectionTableWithoutMoveTest]. LCC (Lack of Component Cohesion) = 0.88
